region,block_bp,n_blocks,r,r_se,d,d_se
nominal,250000,80,0.7437936377657763,0.01805311958923843,1.8458885376153376,0.03885294518430687
nominal,500000,40,0.7437402383967573,0.021880473422660522,1.8457211507756455,0.04547518074984671
nominal,1000000,20,0.7437165190186441,0.02618612158674637,1.845533213294793,0.05344602528696413
nominal,2000000,10,0.743656625246155,0.029676306108368605,1.8462600324233627,0.0477764596181816
nominal,4000000,5,0.7440381718428681,0.03820840706748947,1.844346608213976,0.056933290258884516
body,250000,76,0.736728879894514,0.01814030919686689,1.8787489315864434,0.03677232242041707
body,500000,38,0.736723004507553,0.021990416661822332,1.8783638522665456,0.04237121848450216
body,1000000,20,0.7367372194358399,0.02627438921670949,1.8780355077117505,0.05025672149413252
body,2000000,10,0.7368539926533595,0.030292279989928225,1.8780488492077794,0.04565047245841309
body,4000000,5,0.7370006742985686,0.0379816117675781,1.8769482446537777,0.051281212809668034
