go_id	cat	term	k_raw	k_clustered	null_mean_raw	p_window_raw	p_window_clustered	fdr_clustered
GO:0080111	biological_process	obsolete DNA demethylation	2	2	0.037	0.0	0.0	0.063125
GO:0098751	biological_process	bone cell development	2	2	0.097	0.0	0.0	0.063125
GO:0035855	biological_process	megakaryocyte development	2	2	0.0585	0.0	0.0	0.063125
GO:0006699	biological_process	bile acid biosynthetic process	2	2	0.063	0.0055	0.0	0.063125
GO:0008206	biological_process	bile acid metabolic process	2	2	0.1135	0.0105	0.005	0.3703333333333333
GO:0050994	biological_process	regulation of lipid catabolic process	2	2	0.1735	0.006	0.006	0.3703333333333333
GO:0072662	biological_process	protein localization to peroxisome	2	2	0.2475	0.008	0.008	0.3703333333333333
GO:0006625	biological_process	protein targeting to peroxisome	2	2	0.2475	0.008	0.008	0.3703333333333333
GO:0072663	biological_process	establishment of protein localization to peroxisome	2	2	0.2475	0.008	0.008	0.3703333333333333
GO:0071542	biological_process	dopaminergic neuron differentiation	2	2	0.141	0.008	0.008	0.3703333333333333
GO:0030219	biological_process	megakaryocyte differentiation	2	2	0.0785	0.009	0.009	0.3703333333333333
GO:0009264	biological_process	deoxyribonucleotide catabolic process	2	2	0.079	0.011	0.011	0.3703333333333333
GO:0046386	biological_process	deoxyribose phosphate catabolic process	2	2	0.0715	0.011	0.011	0.3703333333333333
GO:0019692	biological_process	deoxyribose phosphate metabolic process	2	2	0.13	0.011	0.011	0.3703333333333333
GO:0009394	biological_process	2'-deoxyribonucleotide metabolic process	2	2	0.13	0.011	0.011	0.3703333333333333
GO:0035510	biological_process	DNA dealkylation	2	2	0.091	0.014	0.0135	0.3732608695652174
GO:0005782	cellular_component	peroxisomal matrix	2	2	0.208	0.014	0.014	0.3732608695652174
GO:0031907	cellular_component	microbody lumen	2	2	0.208	0.014	0.014	0.3732608695652174
GO:0009262	biological_process	deoxyribonucleotide metabolic process	2	2	0.159	0.017	0.017	0.3732608695652174
GO:0002433	biological_process	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	2	2	0.213	0.017	0.017	0.3732608695652174
GO:0002431	biological_process	Fc receptor mediated stimulatory signaling pathway	2	2	0.213	0.017	0.017	0.3732608695652174
GO:0038096	biological_process	Fc-gamma receptor signaling pathway involved in phagocytosis	2	2	0.213	0.017	0.017	0.3732608695652174
GO:0038094	biological_process	Fc-gamma receptor signaling pathway	2	2	0.213	0.017	0.017	0.3732608695652174
GO:0043574	biological_process	peroxisomal transport	2	2	0.261	0.019	0.019	0.37875
GO:0061515	biological_process	myeloid cell development	2	2	0.2215	0.0195	0.0195	0.37875
GO:0038093	biological_process	Fc receptor signaling pathway	2	2	0.311	0.0205	0.0205	0.37875
GO:0007031	biological_process	peroxisome organization	2	2	0.29	0.021	0.021	0.37875
GO:0097014	cellular_component	ciliary plasm	3	3	0.714	0.055	0.023	0.37875
GO:0044728	biological_process	obsolete DNA methylation or demethylation	2	2	0.252	0.024	0.0235	0.37875
GO:0046394	biological_process	carboxylic acid biosynthetic process	4	4	1.1935	0.0535	0.0235	0.37875
GO:0016053	biological_process	organic acid biosynthetic process	4	4	1.1935	0.0535	0.0235	0.37875
GO:0070988	biological_process	demethylation	2	2	0.2005	0.034	0.024	0.37875
GO:0007599	biological_process	hemostasis	3	3	0.657	0.041	0.0255	0.37875
GO:0005930	cellular_component	axoneme	3	3	0.709	0.0515	0.0255	0.37875
GO:0005777	cellular_component	peroxisome	3	3	0.599	0.041	0.03	0.4208333333333333
GO:0042579	cellular_component	microbody	3	3	0.599	0.041	0.03	0.4208333333333333
GO:0006635	biological_process	fatty acid beta-oxidation	2	2	0.2425	0.041	0.0315	0.42526315789473684
GO:0072330	biological_process	monocarboxylic acid biosynthetic process	3	3	0.7585	0.0475	0.032	0.42526315789473684
GO:0032838	cellular_component	plasma membrane bounded cell projection cytoplasm	3	3	0.9115	0.079	0.034	0.4402564102564103
GO:0044447	cellular_component	obsolete axoneme part	2	2	0.335	0.0795	0.0395	0.48151162790697677
GO:0060326	biological_process	cell chemotaxis	2	2	0.3025	0.0535	0.041	0.48151162790697677
GO:0034440	biological_process	lipid oxidation	2	2	0.323	0.0625	0.041	0.48151162790697677
GO:0019395	biological_process	fatty acid oxidation	2	2	0.3155	0.0625	0.041	0.48151162790697677
GO:1990542	biological_process	mitochondrial transmembrane transport	2	2	0.3095	0.048	0.048	0.5509090909090909
GO:0003333	biological_process	amino acid transmembrane transport	2	2	0.398	0.075	0.05	0.5611111111111111
GO:0044439	cellular_component	obsolete peroxisomal part	2	2	0.39	0.065	0.053	0.5628645833333333
GO:0044438	cellular_component	obsolete microbody part	2	2	0.39	0.065	0.053	0.5628645833333333
GO:0006694	biological_process	steroid biosynthetic process	2	2	0.35	0.0655	0.0535	0.5628645833333333
GO:0001889	biological_process	liver development	3	3	0.9165	0.0875	0.0575	0.5926020408163266
GO:0061008	biological_process	hepaticobiliary system development	3	3	0.94	0.0885	0.0595	0.60095
GO:0006304	biological_process	DNA modification	2	2	0.354	0.062	0.061	0.6040196078431372
GO:0042133	biological_process	obsolete neurotransmitter metabolic process	2	2	0.4115	0.0725	0.0635	0.6125462962962963
GO:0009166	biological_process	nucleotide catabolic process	2	2	0.431	0.077	0.065	0.6125462962962963
GO:0044283	biological_process	small molecule biosynthetic process	6	5	2.2185	0.052	0.0655	0.6125462962962963
GO:1901292	biological_process	nucleoside phosphate catabolic process	2	2	0.452	0.077	0.068	0.6243636363636365
GO:0032091	biological_process	negative regulation of protein binding	2	2	0.37	0.0765	0.0695	0.6267410714285715
GO:0006865	biological_process	amino acid transport	2	2	0.5045	0.101	0.076	0.6733333333333333
GO:0009062	biological_process	fatty acid catabolic process	2	2	0.4025	0.0975	0.0785	0.6834913793103448
GO:0044282	biological_process	small molecule catabolic process	4	4	1.4975	0.105	0.081	0.6933050847457627
GO:0072329	biological_process	monocarboxylic acid catabolic process	2	2	0.4785	0.1085	0.091	0.7659166666666667
GO:0072529	biological_process	pyrimidine-containing compound catabolic process	2	1	0.096	0.0	0.096	0.7947540983606558
GO:0002429	biological_process	immune response-activating cell surface receptor signaling pathway	2	2	0.524	0.1035	0.1035	0.8430241935483871
GO:0060348	biological_process	bone development	2	2	0.5955	0.113	0.1125	0.8887999999999999
GO:0006631	biological_process	fatty acid metabolic process	3	3	1.189	0.1595	0.1135	0.8887999999999999
GO:0002768	biological_process	immune response-regulating cell surface receptor signaling pathway	2	2	0.572	0.1205	0.1175	0.8887999999999999
GO:1901617	biological_process	organic hydroxy compound biosynthetic process	2	2	0.572	0.126	0.1205	0.8887999999999999
GO:0051100	biological_process	negative regulation of binding	2	2	0.6195	0.132	0.1205	0.8887999999999999
GO:0046434	biological_process	organophosphate catabolic process	2	2	0.574	0.1305	0.122	0.8887999999999999
GO:1901136	biological_process	carbohydrate derivative catabolic process	3	2	0.7205	0.041	0.127	0.8887999999999999
GO:0016747	molecular_function	acyltransferase activity, transferring groups other than amino-acyl groups	2	2	0.6305	0.1425	0.1275	0.8887999999999999
GO:0008202	biological_process	steroid metabolic process	2	2	0.656	0.149	0.1285	0.8887999999999999
GO:1905039	biological_process	carboxylic acid transmembrane transport	2	2	0.734	0.1655	0.131	0.8887999999999999
GO:1903825	biological_process	organic acid transmembrane transport	2	2	0.734	0.1655	0.131	0.8887999999999999
GO:0006605	biological_process	protein targeting	3	3	1.427	0.1755	0.131	0.8887999999999999
GO:1901657	biological_process	glycosyl compound metabolic process	2	2	0.6515	0.145	0.132	0.8887999999999999
GO:0006520	biological_process	amino acid metabolic process	3	3	1.2985	0.1725	0.1395	0.9269407894736843
GO:0050878	biological_process	regulation of body fluid levels	3	3	1.337	0.169	0.148	0.965253164556962
GO:0034404	biological_process	nucleobase-containing small molecule biosynthetic process	2	2	0.6165	0.166	0.1505	0.965253164556962
GO:0044782	biological_process	cilium organization	4	4	2.046	0.1835	0.151	0.965253164556962
GO:0008015	biological_process	blood circulation	3	3	1.412	0.163	0.153	0.9658125
GO:0030258	biological_process	lipid modification	2	2	0.802	0.2095	0.159	0.9765361445783132
GO:0043177	molecular_function	organic acid binding	2	2	0.747	0.1795	0.16	0.9765361445783132
GO:0016746	molecular_function	acyltransferase activity	2	2	0.7325	0.18	0.1605	0.9765361445783132
GO:0044242	biological_process	obsolete cellular lipid catabolic process	2	2	0.6895	0.1875	0.1625	0.9769345238095238
GO:0003682	molecular_function	chromatin binding	4	4	2.423	0.226	0.165	0.9802941176470589
GO:0003013	biological_process	circulatory system process	3	3	1.4715	0.183	0.173	0.99
GO:0002757	biological_process	immune response-activating signaling pathway	2	2	0.7415	0.182	0.1755	0.99
GO:0002764	biological_process	immune response-regulating signaling pathway	2	2	0.7835	0.1885	0.182	0.99
GO:0006909	biological_process	phagocytosis	2	2	0.756	0.1945	0.1825	0.99
GO:0019752	biological_process	carboxylic acid metabolic process	5	5	3.386	0.2635	0.1835	0.99
GO:0016042	biological_process	lipid catabolic process	2	2	0.814	0.224	0.1845	0.99
GO:0050821	biological_process	protein stabilization	2	2	0.8225	0.201	0.189	0.99
