rho,seq_length,rep,seed,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
200,2938,0,100000,365,0.46,0.6900376457181008,1.876726197519875,0.006453141378897229,0.009351868581288263,0.01211077948207596,0.34748172140459577
200,2938,1,100001,325,0.47,0.7250399879738259,1.9278987858997207,0.00552463701422024,0.0076197687104944635,0.01065094099225186,0.3829462704620775
200,2938,2,100002,327,0.42,0.6537189358678507,1.9001203931414428,0.005532486810138738,0.008463097069069956,0.010512391012730665,0.33432918057082206
200,2938,3,100003,297,0.25,0.7085108824562518,1.8889292805751547,0.005714651860594857,0.008065722068775306,0.010794573227770913,0.3616989926976567
200,2938,4,100004,310,0.38,0.6933526376747248,1.9207669942256245,0.005885457122415119,0.008488403739478073,0.011304591786665081,0.3642467975336966
200,2938,5,100005,312,0.27,0.6434430235780393,2.1081572497073933,0.005472129981057726,0.008504451490713917,0.011536110490908026,0.39422470499103535
200,2938,6,100006,315,0.37,0.6416453070323757,1.9649776749792986,0.005812452420462561,0.009058668951145746,0.01142133924308832,0.3489764617311564
200,2938,7,100007,321,0.26,0.6161371340883095,2.070773686983955,0.005171106382047773,0.008392784813561668,0.010708191028539326,0.3666581423762828
200,2938,8,100008,311,0.36,0.7159440851704029,1.9413062869209434,0.005879930481491607,0.00821283477758199,0.011414746010377747,0.3826947508835885
200,2938,9,100009,294,0.37,0.7191912905736877,1.8165165756571644,0.0058834979921146115,0.008180713628249637,0.010687471625521836,0.34202344047498057
200,2938,10,100010,314,0.4,0.6745919863285821,1.9449313104520287,0.0056223329302868075,0.008334419981603912,0.010935051353900315,0.3618341395848762
200,2938,11,100011,286,0.34,0.7292193760878566,1.9495522975009212,0.0055969797706901655,0.00767530314501111,0.010911604771015191,0.39182717875940576
200,2938,12,100012,334,0.26,0.6815078951934427,1.9933392340969343,0.005212270397571113,0.0076481438209775035,0.010389823082200525,0.381105235536656
200,2938,13,100013,336,0.5,0.7084294766616129,1.9830861542209512,0.0054361510421155924,0.007673524636118739,0.010780355863873227,0.39196461398055304
200,2938,14,100014,312,0.37,0.6949286195787976,1.991407277232093,0.005839469692539591,0.008402977698744003,0.011628762440899594,0.3876198149344168
200,2938,15,100015,315,0.43,0.5976897647212402,2.089175583082447,0.00539829290769171,0.009031931323450803,0.011277981733076667,0.36024793386476317
200,2938,16,100016,315,0.26,0.5968644670829344,2.1466172818266096,0.005410109235670424,0.009064217312367983,0.011613433981859881,0.37682831061651423
200,2938,17,100017,336,0.33,0.6206436477700447,2.033583389545391,0.005112423679175801,0.008237293167415146,0.010396539874290445,0.357973084891282
200,2938,18,100018,319,0.35,0.598907537388103,2.198654879753497,0.005502064714815706,0.009186834980923387,0.012097141433949084,0.3928772439364654
200,2938,19,100019,284,0.31,0.6800670712875873,1.870841400245646,0.005899622456938111,0.008675059719871769,0.011037257938258754,0.33975076697767237
200,2938,20,100020,316,0.25,0.6695092748932984,2.12057286209382,0.0056696486204584175,0.008468364566513295,0.012022903002151784,0.41203829123293345
200,2938,21,100021,362,0.27,0.7171771384542519,1.9082174010420647,0.005741582244775796,0.00800580768253539,0.010956187148995334,0.3726197928002809
200,2938,22,100022,281,0.23,0.6698419754534362,1.966221141792156,0.005535790084614764,0.008264322463320428,0.010884587500892936,0.36607094449821476
200,2938,23,100023,331,0.23,0.680886528061777,2.0501961190625666,0.005243349454231614,0.007700768392579921,0.01074989470195448,0.39794210986745226
