win,n_assayed,n_hi,n_hi9,mb,rate,dist_edge
0,55720,0,0,60.040617,0.0,0.0
1,43837,0,0,60.140617,0.0,0.10000000000000142
2,34871,0,0,60.240617,0.0,0.20000000000000284
3,37524,0,0,60.340616999999995,0.0,0.29999999999999716
4,28844,0,0,60.440616999999996,0.0,0.3999999999999986
5,28291,21,8,60.540617,7.422855325015022,0.5
6,30580,5,1,60.640617,1.6350555918901242,0.6000000000000014
7,34661,26,3,60.740617,7.501226161968783,0.7000000000000028
8,47737,63,45,60.840616999999995,13.197310262479837,0.7999999999999972
9,51156,85,53,60.940616999999996,16.615841738994447,0.8999999999999986
10,43025,58,27,61.040617,13.48053457292272,1.0
11,43274,38,20,61.140617,8.781254332855756,1.1000000000000014
12,45570,79,38,61.240617,17.335966644722404,1.2000000000000028
13,49890,28,3,61.340616999999995,5.612347163760273,1.2999999999999972
14,46773,37,5,61.440616999999996,7.910546682915357,1.3999999999999986
15,49402,50,15,61.540617,10.121047730861099,1.5
16,48294,53,28,61.640617,10.974448171615522,1.6000000000000014
17,47233,108,28,61.740617,22.86536955094955,1.7000000000000028
18,52552,23,10,61.840616999999995,4.376617445577714,1.7999999999999972
19,47950,18,3,61.940616999999996,3.753910323253389,1.8999999999999986
20,51599,26,1,62.040617,5.038857342196554,2.0
21,49377,167,99,62.140617,33.82141482876643,2.1000000000000014
22,49112,27,2,62.240617,5.497638051799967,2.200000000000003
23,50680,107,44,62.340616999999995,21.11286503551697,2.299999999999997
24,47768,36,5,62.440616999999996,7.536426059286551,2.3999999999999986
25,50171,112,70,62.540617,22.323653106376195,2.5
26,44569,12,2,62.640617,2.6924543965536585,2.6000000000000014
27,49291,60,24,62.740617,12.172607575419448,2.700000000000003
28,44248,49,10,62.840616999999995,11.073946845055143,2.799999999999997
29,43332,32,10,62.940616999999996,7.384842610541863,2.8999999999999986
30,51949,67,18,63.040617,12.897264624920595,3.0
31,50152,77,29,63.140617,15.353325889296539,3.1000000000000014
32,50952,107,33,63.240617,21.000157010519704,3.200000000000003
33,59922,10,1,63.340616999999995,1.6688361536664331,3.299999999999997
34,49824,28,0,63.440616999999996,5.619781631342325,3.3999999999999986
35,53090,86,31,63.540617,16.19890751553965,3.5
36,51257,107,20,63.640617,20.875197533995358,3.6000000000000014
37,47642,95,11,63.740617,19.940388732630872,3.700000000000003
38,50712,56,1,63.840616999999995,11.042751222590313,3.799999999999997
39,47417,40,11,63.940616999999996,8.435793069995993,3.8999999999999986
40,46971,83,40,64.040617,17.670477528687915,4.0
41,41420,44,21,64.14061699999999,10.622887493964269,4.099999999999994
42,43981,13,3,64.240617,2.955821832154794,4.200000000000003
43,50941,8,3,64.340617,1.5704442394142244,4.299999999999997
44,45947,73,23,64.440617,15.887870807669707,4.400000000000006
45,42785,87,12,64.540617,20.334229285964707,4.5
46,38834,67,27,64.64061699999999,17.252922696606067,4.599999999999994
47,31747,124,52,64.740617,39.05880870633446,4.700000000000003
48,38836,193,68,64.840617,49.6961582037285,4.799999999999997
49,47805,60,28,64.940617,12.550988390335739,4.900000000000006
50,42620,35,2,65.040617,8.212106992022525,5.0
51,44545,38,7,65.14061699999999,8.530699292849928,5.099999999999994
52,40560,20,8,65.240617,4.930966469428008,5.200000000000003
53,43562,7,0,65.340617,1.6069051007759056,5.299999999999997
54,38871,12,0,65.440617,3.0871343675233462,5.400000000000006
55,33086,26,0,65.540617,7.858308650184368,5.5
56,34605,59,9,65.64061699999999,17.049559312238117,5.599999999999994
57,37487,56,19,65.740617,14.9385120174994,5.700000000000003
58,40341,11,0,65.840617,2.7267544185815917,5.799999999999997
59,36534,15,4,65.940617,4.105764493348661,5.900000000000006
60,37089,13,0,66.040617,3.505082369435682,6.0
61,44723,22,0,66.14061699999999,4.919169107618004,6.099999999999994
62,34653,61,15,66.240617,17.603093527255936,6.200000000000003
63,29833,83,31,66.340617,27.821539905473806,6.299999999999997
64,35178,49,16,66.440617,13.929160270623685,6.400000000000006
65,28545,15,3,66.540617,5.254860746190226,6.5
66,33409,30,1,66.64061699999999,8.979616271064684,6.599999999999994
67,32432,31,5,66.740617,9.558460779477059,6.700000000000003
68,33488,5,0,66.840617,1.4930721452460582,6.799999999999997
69,31970,24,0,66.940617,7.507037847982484,6.900000000000006
70,22299,10,0,67.040617,4.4845060316606125,7.0
71,32157,84,35,67.14061699999999,26.121839723854837,7.099999999999994
72,31883,57,17,67.240617,17.877865947370072,7.200000000000003
73,35004,22,10,67.340617,6.284996000457091,7.299999999999997
74,32546,81,29,67.440617,24.887851041602655,7.400000000000006
75,29839,26,14,67.540617,8.71342873420691,7.5
76,29233,29,11,67.64061699999999,9.92029555639175,7.599999999999994
77,30900,8,3,67.740617,2.588996763754045,7.700000000000003
78,29955,39,5,67.840617,13.019529293940911,7.799999999999997
79,45843,87,48,67.940617,18.97781558798508,7.900000000000006
80,45280,81,41,68.040617,17.8886925795053,8.0
81,35122,49,6,68.14061699999999,13.951369511986789,8.099999999999994
82,36568,6,2,68.240617,1.6407788230146576,8.200000000000003
83,28388,73,40,68.340617,25.71509088347189,8.299999999999997
84,31365,135,63,68.440617,43.0416068866571,8.400000000000006
85,26430,12,3,68.540617,4.540295119182747,8.5
86,29249,8,2,68.64061699999999,2.735136243974153,8.599999999999994
87,35800,62,13,68.740617,17.318435754189945,8.700000000000003
88,28389,70,46,68.840617,24.657437739969705,8.799999999999997
89,29942,57,19,68.940617,19.03680448867811,8.900000000000006
90,47594,108,35,69.040617,22.691935958314073,9.0
91,48849,73,27,69.14061699999999,14.944011136358984,9.099999999999994
92,47686,85,26,69.240617,17.82493813697941,9.200000000000003
93,43325,25,2,69.340617,5.770340450086555,9.299999999999997
94,49730,22,2,69.440617,4.423889000603258,9.400000000000006
95,42609,65,29,69.540617,15.254993076580066,9.5
96,46305,53,12,69.64061699999999,11.445848180542058,9.599999999999994
97,41996,65,11,69.740617,15.477664539479951,9.700000000000003
98,47837,34,0,69.840617,7.107469113865836,9.799999999999997
99,48588,42,10,69.940617,8.644109656705359,9.900000000000006
100,43913,11,3,70.040617,2.5049529752009656,9.954980000000006
101,36367,55,13,70.14061699999999,15.123601066901312,9.854980000000012
102,56976,153,62,70.240617,26.853411962931762,9.754980000000003
103,43473,71,27,70.340617,16.331976169116462,9.654980000000009
104,41764,36,11,70.440617,8.61986399770137,9.55498
105,44161,37,7,70.540617,8.378433459387242,9.454980000000006
106,47501,71,35,70.64061699999999,14.947053746236922,9.354980000000012
107,46050,63,19,70.740617,13.680781758957655,9.254980000000003
108,50670,43,4,70.840617,8.486283797118611,9.154980000000009
109,46782,7,1,70.940617,1.4963019964943782,9.05498
110,45979,102,58,71.040617,22.184040540246635,8.954980000000006
111,44551,29,13,71.14061699999999,6.509393728535835,8.854980000000012
112,47005,52,28,71.240617,11.062652909264973,8.754980000000003
113,44557,77,26,71.340617,17.281235271674486,8.654980000000009
114,35662,45,8,71.440617,12.61847344512366,8.55498
115,37948,46,20,71.540617,12.121850953936967,8.454980000000006
116,33480,59,29,71.64061699999999,17.62246117084827,8.354980000000012
117,34357,50,12,71.740617,14.553075064761185,8.254980000000003
118,37593,36,13,71.840617,9.576250897773521,8.154980000000009
119,43814,8,1,71.940617,1.8259003971333363,8.05498
120,40439,32,4,72.040617,7.913153144241945,7.954980000000006
121,39783,44,8,72.14061699999999,11.060000502727295,7.854980000000012
122,24081,37,12,72.240617,15.364810431460487,7.754980000000003
123,19354,0,0,72.340617,0.0,7.654980000000009
124,41730,20,1,72.440617,4.792715073088905,7.5549800000000005
