arm,path,t_inv,p_start,rho_target,seq_length,wall_s,peak_rss_gb,num_trees,pi_i_over_pi_s,dxy_over_pi_i,status
growth,constant,950000.0,,200,2938,0.2,0.11,282,1.212,1.4463,ok
growth,constant,950000.0,,500,7344,0.5,0.12,748,1.2027,1.4144,ok
growth,constant,950000.0,,1000,14688,1.5,0.14,1605,1.2556,1.4046,ok
growth,constant,950000.0,,2000,29377,4.1,0.2,3219,1.2173,1.3915,ok
growth,constant,950000.0,,5000,73442,16.5,0.55,8159,1.2063,1.3925,ok
growth,trajectory,500000.0,0.15,200,2938,0.2,0.12,288,0.8075,1.3046,ok
growth,trajectory,500000.0,0.15,500,7344,0.6,0.14,733,0.8919,1.2333,ok
growth,trajectory,500000.0,0.15,1000,14688,1.8,0.19,1551,0.854,1.2645,ok
growth,trajectory,500000.0,0.15,2000,29377,5.7,0.34,3187,0.8722,1.2486,ok
growth,trajectory,500000.0,0.15,5000,73442,22.2,0.91,8015,0.8963,1.2283,ok
constant,constant,950000.0,,200,25806,0.3,0.12,1174,1.454,1.8796,ok
constant,constant,950000.0,,500,64516,0.8,0.14,2985,1.3567,1.8325,ok
constant,constant,950000.0,,1000,129032,2.5,0.17,5978,1.3671,1.8476,ok
constant,constant,950000.0,,2000,258065,7.5,0.32,12080,1.3563,1.8175,ok
constant,constant,950000.0,,5000,645161,29.2,1.04,30666,1.3553,1.8401,ok
constant,trajectory,500000.0,0.15,200,25806,0.3,0.12,1196,0.7596,1.9296,ok
constant,trajectory,500000.0,0.15,500,64516,0.8,0.14,2883,0.7559,1.964,ok
constant,trajectory,500000.0,0.15,1000,129032,2.3,0.18,5780,0.7446,1.9529,ok
constant,trajectory,500000.0,0.15,2000,258065,7.5,0.34,11520,0.7916,1.8734,ok
constant,trajectory,500000.0,0.15,5000,645161,29.2,1.07,29347,0.7594,1.9349,ok
