DECLINE family refit, corrected polarization (I = BB, p_now = 0.374)
targets: pi_I/pi_S=1.3556  dxy/pi_I=1.3848  f1(I)/f1(S)=0.8256

    t_inv  p_hist    t_decl  pi_I/pi_S  dxy/pi_I  f1ratio  miss_r  miss_d  miss_f   score
  750,000   0.660   100,000     1.1918    1.3116   0.8994  -12.1%   -5.3%   +8.9%  0.0254
  750,000   0.660   175,000     1.1579    1.3308   0.8668  -14.6%   -3.9%   +5.0%  0.0253
  750,000   0.700   100,000     1.2700    1.2954   0.8896   -6.3%   -6.5%   +7.8%  0.0142
  750,000   0.700   175,000     1.2269    1.3141   0.8542   -9.5%   -5.1%   +3.5%  0.0128
  750,000   0.740   100,000     1.3619    1.2802   0.8733   +0.5%   -7.6%   +5.8%  0.0091
  750,000   0.740   175,000     1.3205    1.2956   0.8320   -2.6%   -6.4%   +0.8%  0.0049
  800,000   0.660   100,000     1.2239    1.3599   0.8848   -9.7%   -1.8%   +7.2%  0.0149
  800,000   0.660   175,000     1.1934    1.3819   0.8518  -12.0%   -0.2%   +3.2%  0.0153
  800,000   0.700   100,000     1.3117    1.3446   0.8773   -3.2%   -2.9%   +6.3%  0.0058
  800,000   0.700   175,000     1.2709    1.3565   0.8407   -6.2%   -2.0%   +1.8%  0.0047
  800,000   0.740   100,000     1.4215    1.3267   0.8621   +4.9%   -4.2%   +4.4%  0.0061
  800,000   0.740   175,000     1.3868    1.3435   0.8165   +2.3%   -3.0%   -1.1%  0.0015
  850,000   0.660   100,000     1.2511    1.4162   0.8752   -7.7%   +2.3%   +6.0%  0.0101
  850,000   0.660   175,000     1.2278    1.4301   0.8408   -9.4%   +3.3%   +1.8%  0.0103
  850,000   0.700   100,000     1.3492    1.3935   0.8655   -0.5%   +0.6%   +4.8%  0.0024
  850,000   0.700   175,000     1.3160    1.4087   0.8269   -2.9%   +1.7%   +0.2%  0.0012
  850,000   0.740   100,000     1.4785    1.3723   0.8461   +9.1%   -0.9%   +2.5%  0.0089
  850,000   0.740   175,000     1.4326    1.3900   0.8047   +5.7%   +0.4%   -2.5%  0.0039
   TARGET                       1.3556    1.3848   0.8256

BEST  t_inv=850,000  p_hist=0.700  t_decline=175,000  ->  1.3160 / 1.4087 / 0.8269  (score 0.00115)
