DECLINE family refit, corrected polarization (I = BB, p_now = 0.374)
targets: pi_I/pi_S=1.3556  dxy/pi_I=1.3848  f1(I)/f1(S)=0.8256

    t_inv  p_hist    t_decl  pi_I/pi_S  dxy/pi_I  f1ratio  miss_r  miss_d  miss_f   score
  600,000   0.700   100,000     1.1420    1.1892   0.9364  -15.8%  -14.1%  +13.4%  0.0628
  600,000   0.700   250,000     1.0736    1.2218   0.8739  -20.8%  -11.8%   +5.9%  0.0605
  600,000   0.800   100,000     1.3246    1.1707   0.9217   -2.3%  -15.5%  +11.6%  0.0380
  600,000   0.800   250,000     1.1978    1.2089   0.8475  -11.6%  -12.7%   +2.6%  0.0304
  600,000   0.880   100,000     1.7127    1.1591   0.8544  +26.3%  -16.3%   +3.5%  0.0972
  600,000   0.880   250,000     1.4438    1.1938   0.7899   +6.5%  -13.8%   -4.3%  0.0251
  800,000   0.700   100,000     1.3122    1.3451   0.8789   -3.2%   -2.9%   +6.5%  0.0060
  800,000   0.700   250,000     1.2296    1.3804   0.8210   -9.3%   -0.3%   -0.6%  0.0087
  800,000   0.800   100,000     1.6772    1.3067   0.8190  +23.7%   -5.6%   -0.8%  0.0595
  800,000   0.800   250,000     1.5195    1.3385   0.7595  +12.1%   -3.3%   -8.0%  0.0221
  800,000   0.880   100,000     2.3343    1.2800   0.7410  +72.2%   -7.6%  -10.3%  0.5374
  800,000   0.880   250,000     2.0403    1.3203   0.6794  +50.5%   -4.7%  -17.7%  0.2886
1,000,000   0.700   100,000     1.4591    1.5349   0.8329   +7.6%  +10.8%   +0.9%  0.0177
1,000,000   0.700   250,000     1.3630    1.5875   0.7847   +0.5%  +14.6%   -4.9%  0.0239
1,000,000   0.800   100,000     1.9330    1.4749   0.7721  +42.6%   +6.5%   -6.5%  0.1898
1,000,000   0.800   250,000     1.7758    1.5197   0.7102  +31.0%   +9.7%  -14.0%  0.1251
1,000,000   0.880   100,000     2.6623    1.4357   0.7041  +96.4%   +3.7%  -14.7%  0.9522
1,000,000   0.880   250,000     2.3415    1.4781   0.6450  +72.7%   +6.7%  -21.9%  0.5813
   TARGET                       1.3556    1.3848   0.8256

BEST  t_inv=800,000  p_hist=0.700  t_decline=100,000  ->  1.3122 / 1.3451 / 0.8789  (score 0.00601)
