transcript,dxy,n,pos,n0,n4,win,win_dxy,ratio,f0
LOC_00005298-mRNA-1,0.0037843167185877464,963,60519868.0,627,99,605,0.005294498202601702,0.7147640010016707,0.8636363636363636
LOC_00005298-mRNA-2,0.0008126446280991735,121,60508854.0,79,11,605,0.005294498202601702,0.15348850769272945,0.8777777777777778
LOC_00005299-mRNA-1,0.003163245770258237,1123,60554056.0,716,147,605,0.005294498202601702,0.5974590318500489,0.8296639629200464
LOC_00005300-mRNA-1,0.002973933218192285,1737,60908724.0,1098,262,609,0.0055569979591523575,0.5351690319220339,0.8073529411764706
LOC_00005300-mRNA-2,0.0032640473411154345,1542,60908626.5,972,236,609,0.0055569979591523575,0.5873760194098252,0.804635761589404
LOC_00005301-mRNA-1,0.002570167824074074,1728,61395530.5,1112,278,613,0.007510520241954614,0.3422090269748328,0.8
LOC_00005301-mRNA-2,0.0025441571373006613,2571,61399664.0,1637,414,613,0.007510520241954614,0.33874579327923415,0.7981472452462214
LOC_00005301-mRNA-3,0.002625218851132686,2472,61399614.5,1577,405,613,0.007510520241954614,0.34953888233572916,0.7956609485368314
LOC_00005302-mRNA-1,0.001728131172839506,648,61417452.5,422,84,614,0.006344830320247934,0.2723683827012062,0.83399209486166
LOC_00005302-mRNA-2,0.0015563857677902621,534,61417063.5,346,70,614,0.006344830320247934,0.24529982509121598,0.8317307692307693
LOC_00005302-mRNA-3,0.0018438666666666667,570,61417491.5,371,74,614,0.006344830320247934,0.29060929506379846,0.8337078651685393
LOC_00005303-mRNA-1,0.002323277096114519,1956,61442074.5,1285,290,614,0.006344830320247934,0.36616851497200215,0.8158730158730159
LOC_00005303-mRNA-2,0.0024804967320261437,918,61463457.5,598,143,614,0.006344830320247934,0.3909476860413841,0.8070175438596491
LOC_00005304-mRNA-1,0.005145118404118404,1554,61552815.5,1011,197,615,0.0062183278530369415,0.8274118904177113,0.8369205298013245
LOC_00005305-mRNA-1,0.0007528871473354232,1914,61592037.5,1245,256,615,0.0062183278530369415,0.12107549893300078,0.8294470353097935
LOC_00005307-mRNA-1,0.00256171568627451,102,61857829.5,61,11,618,0.00745704062048808,0.3435298017870848,0.8472222222222222
LOC_00005308-mRNA-1,0.03899581081081081,333,62090683.0,218,8,620,0.009302938146688252,4.191773630645165,0.9646017699115044
LOC_00005309-mRNA-1,0.01811134523809524,84,62423430.5,57,5,624,0.008733683413452849,2.0737350303077844,0.9193548387096774
