q,prot,pid,len,e,bit,desc,e2,s0,e0,nearfix,maxdp,class,seqkey,orf_aa,bp,orf_frac,orf_null,orf_ratio,gc
2:60859366-60861245,Doryteuthis|PAC4GC:38602891,55.6,45,4.16e-09,57.4,,,60859366,60861245,0,0.4750480055809021,no_pfam_domain,2:60859366-60861245,109,1879,0.1740287386907929,100.0,1.09,0.3858435337945716
2:61043277-61044314,Euprymna|mrna-16748,45.2,62,9.76e-10,59.3,Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM,8.43e-10,61043277,61044314,0,0.788474977016449,TE_derived,2:61043277-61044314,99,1037,0.2864030858244937,89.0,1.1123595505617978,0.39247830279652846
2:61090942-61092035,Architeuthis|pred2_04025.1,38.4,73,2.24e-10,61.6,,,61090942,61092035,2,0.9512810111045836,no_pfam_domain,2:61090942-61092035,113,1093,0.3101555352241537,86.0,1.313953488372093,0.36688014638609334
2:61145331-61146075,Sepioteuthis|mrna-45966,76.9,52,1.08e-15,75.5,,,61145331,61146075,0,0.5315359830856323,no_pfam_domain,2:61145331-61146075,118,744,0.4758064516129032,73.0,1.6164383561643836,0.3817204301075269
2:61152936-61154059,Architeuthis|pred2_07836.1,93.1,29,2.83e-10,60.5,,,61152936,61154059,1,0.8054800033569336,no_pfam_domain,2:61152936-61154059,113,1123,0.3018699910952805,79.0,1.4303797468354431,0.390026714158504
2:61550584-61551116,Architeuthis|pred2_42383.1,73.9,69,2.64e-21,92.4,Ubiquitin carboxyl-terminal hydrolase 32,0.0,61550584,61551116,4,0.9159849882125854,gene_candidate,2:61550584-61551116,66,532,0.3721804511278195,64.0,1.03125,0.3533834586466165
2:61687352-61688275,Sepioteuthis|mrna-197941,59.6,47,8.69e-12,64.7,Retrovirus-related Pol polyprotein from transposon 17.6,1.15e-16,61687352,61688275,0,0.6127060055732727,TE_derived,2:61687352-61688275,78,923,0.2535211267605634,80.0,0.975,0.39869989165763814
2:61725125-61726146,Euprymna|mrna-373895,49.4,77,4.87e-13,70.1,,,61725125,61726146,3,0.8209289908409119,TE_pfam,2:61725125-61726146,97,1021,0.2850146914789422,63.0,1.5396825396825398,0.3555337904015671
2:61746024-61749349,Sepia|g18307.t1,37.7,77,1.16e-08,57.0,,,61746024,61749349,8,0.9379649758338928,no_pfam_domain,2:61746024-61749349,109,3325,0.0983458646616541,80.0,1.3625,0.35218045112781954
2:62180079-62181727,Sepia|g16653.t1,42.7,375,1.41e-80,264.0,,,62180079,62181727,0,0.6188030242919922,no_pfam_domain,2:62180079-62181727,375,1648,0.6826456310679612,87.0,4.310344827586207,0.36347087378640774
2:62203884-62205496,Sepia|g2364.t1,60.0,55,8.93e-12,67.0,,,62203884,62205496,5,0.928999960422516,no_pfam_domain,2:62203884-62205496,136,1612,0.2531017369727047,63.0,2.1587301587301586,0.36786600496277916
2:62599109-62600397,Sepioteuthis|mrna-515633,37.0,100,3.13e-08,53.5,,,62599109,62600397,0,0.7231040000915527,probable_TE_pfam,2:62599109-62600397,129,1288,0.3004658385093168,62.0,2.0806451612903225,0.33773291925465837
2:62892166-62895055,Sthenoteuthis|ENA|GHKH01014522|GHKH01014522.1.p1,80.2,101,4.6399999999999994e-48,168.0,Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM,3.19e-06,62892166,62895055,0,,TE_derived,2:62892166-62895055,567,2889,0.5887850467289719,111.0,5.108108108108108,0.36206299757701627
2:62971540-62972655,Sepia|g392.t1,40.2,82,1.01e-09,60.5,Transposable element Tcb1 transposase,1.62e-24,62971540,62972655,1,0.8111630082130432,TE_derived,2:62971540-62972655,90,1115,0.242152466367713,63.0,1.4285714285714286,0.35515695067264574
2:63801313-63801945,Sepia|g8881.t1,28.6,126,1.6e-06,50.1,Retrovirus-related Pol polyprotein from transposon 412,1.5600000000000002e-26,63801313,63801945,1,0.893343985080719,TE_derived,2:63801313-63801945,62,632,0.2943037974683544,53.0,1.169811320754717,0.3560126582278481
2:63802678-63805258,Sepia|g3804.t1,39.5,86,1.76e-07,55.8,Retrovirus-related Pol polyprotein from transposon 412,7.71e-08,63802678,63805258,1,0.8474720120429993,TE_derived,2:63802678-63805258,98,2580,0.113953488372093,76.0,1.2894736842105263,0.34651162790697676
2:63875948-63876680,Architeuthis|pred2_09338.1,33.1,121,4.88e-08,54.3,,,63875948,63876680,0,0.4602389931678772,domain_nonTE,2:63875948-63876680,92,732,0.3770491803278688,69.0,1.3333333333333333,0.36475409836065575
2:64080116-64080855,Sepia|g3822.t2,37.1,140,7.74e-20,90.5,,,64080116,64080855,0,0.6935210227966309,no_pfam_domain,2:64080116-64080855,168,739,0.6820027063599459,62.0,2.7096774193548385,0.3761840324763194
2:64094775-64097255,Architeuthis|pred2_14827.1,69.7,478,1.4999999999999995e-229,654.0,Uncharacterized protein R571,5.31e-15,64094775,64097255,1,0.849918007850647,gene_candidate,2:64094775-64097255,504,2480,0.6096774193548387,80.0,6.3,0.3616935483870968
2:64184195-64185523,Doryteuthis|PAC4GC:38649484,41.1,73,1.51e-12,68.6,,,64184195,64185523,1,0.8194040060043335,no_pfam_domain,2:64184195-64185523,116,1328,0.2620481927710843,86.0,1.3488372093023255,0.4457831325301205
2:65366764-65367927,Architeuthis|pred2_39788.1,52.6,78,3.24e-18,85.9,,,65366764,65367927,0,0.7686349749565125,TE_pfam,2:65366764-65367927,120,1163,0.3095442820292347,82.0,1.4634146341463414,0.40928632846087704
2:66354230-66354809,Doryteuthis|PAC4GC:38606995,75.8,33,1.18e-12,62.8,,,66354230,66354809,5,0.9102929830551147,no_pfam_domain,2:66354230-66354809,66,579,0.3419689119170984,66.0,1.0,0.3920552677029361
2:66427986-66428935,Sepia|g6392.t1,65.5,58,6.67e-18,85.9,Gag-Pol polyprotein,1.31e-11,66427986,66428935,0,0.7669050097465515,TE_derived,2:66427986-66428935,67,949,0.2118018967334035,72.0,0.9305555555555556,0.38777660695468913
2:66470297-66471993,Architeuthis|pred2_15241.1,89.5,86,7.369999999999999e-38,144.0,Protocadherin-11 Y-linked,2.6900000000000002e-21,66470297,66471993,0,0.592216968536377,gene_candidate,2:66470297-66471993,136,1696,0.240566037735849,79.0,1.7215189873417722,0.36851415094339623
2:66602312-66602891,Architeuthis|pred2_07478.1,58.1,74,4.63e-20,82.4,SCAN domain-containing protein 3,2.5e-08,66602312,66602891,0,0.4067379832267761,TE_derived,2:66602312-66602891,129,579,0.6683937823834197,56.0,2.3035714285714284,0.3609671848013817
