transcript,A,B,n,n0,n4,fst
LOC_00005336-mRNA-1,0.857476,1.090029,51,32,9,0.7866543000232105
LOC_00005332-mRNA-1,1.6709019999999999,2.425277,126,82,20,0.6889530556715789
LOC_00005304-mRNA-1,4.8772400000000005,7.995514,1554,1011,197,0.6099970558490674
LOC_00005351-mRNA-1,1.860338,3.0560300000000002,717,471,92,0.6087433696658736
LOC_00005340-mRNA-1,13.90591,24.904242,2529,1648,342,0.5583751555257133
LOC_00005300-mRNA-2,2.76716,5.033161,1542,972,236,0.5497857112061387
LOC_00005300-mRNA-1,2.768817,5.165722,1737,1098,262,0.5359980657108532
LOC_00005384-mRNA-2,0.5933499999999999,1.1108600000000002,495,325,93,0.5341357146715157
LOC_00005337-mRNA-1,5.778177,10.824213,1437,918,213,0.5338195950135127
LOC_00005384-mRNA-1,0.5934999999999999,1.125051,510,336,96,0.5275316407878398
LOC_00005361-mRNA-1,3.369344,6.52756,1161,768,151,0.5161720459099571
LOC_00005350-mRNA-1,2.9820260000000003,6.5251209999999995,2619,1699,367,0.45700700416130224
LOC_00005316-mRNA-1,2.775541,6.309158,1470,939,207,0.43992256969947496
LOC_00005352-mRNA-1,1.285992,2.964796,708,468,90,0.43375395811381284
LOC_00005371-mRNA-2,1.113775,2.656783,876,570,103,0.41921940933828616
LOC_00005309-mRNA-1,0.637661,1.521353,84,57,5,0.41914072539377784
LOC_00005374-mRNA-2,2.6869199999999998,6.525546,1596,1020,245,0.4117540509253938
LOC_00005374-mRNA-1,2.6869199999999998,6.525546,1596,1020,245,0.4117540509253938
LOC_0000SQ31894,2.6869199999999998,6.525546,1596,1020,245,0.4117540509253938
LOC_00005339-mRNA-1,4.420809,11.287987,1407,907,198,0.39163838512570937
LOC_00005371-mRNA-1,1.1176629999999999,2.9135969999999998,1173,753,140,0.38360246801462244
LOC_00005329-mRNA-1,1.333749,3.684139,70,48,17,0.3620246141635807
LOC_00005341-mRNA-1,6.997479,19.806371,4025,2572,496,0.35329435160030076
LOC_00005325-mRNA-1,0.768707,2.348465,86,58,1,0.32732316640869674
LOC_00005379-mRNA-1,5.0368580000000005,15.424211,7122,4631,940,0.3265553097010927
LOC_00005344-mRNA-1,0.651637,2.023745,101,63,13,0.3219956071540634
LOC_00005313-mRNA-1,0.228945,0.72876,96,61,8,0.3141569240902355
LOC_00005381-mRNA-1,0.430355,1.385626,156,97,18,0.3105852517201611
LOC_00005303-mRNA-1,1.38711,4.5443299999999995,1956,1285,290,0.3052397163058141
LOC_00005303-mRNA-2,0.687085,2.277096,918,598,143,0.3017373883226706
LOC_00005323-mRNA-1,1.275927,4.591858,585,375,77,0.27786725983251226
LOC_00005360-mRNA-1,0.44336100000000006,1.617694,483,301,70,0.2740697560848962
LOC_00005380-mRNA-1,1.1724809999999999,4.3221,1596,1025,253,0.27127576872353715
LOC_00005342-mRNA-1,0.394877,1.4705329999999999,176,119,29,0.26852644585330626
LOC_00005365-mRNA-1,0.611278,2.38506,1152,749,160,0.25629460055512227
LOC_00005311-mRNA-1,0.082166,0.337415,60,39,4,0.24351614480684022
LOC_00005376-mRNA-1,0.820921,3.3823790000000002,1032,676,153,0.24270520837552503
LOC_00005379-mRNA-2,0.384461,1.649083,885,575,115,0.2331362338948373
LOC_00005362-mRNA-1,2.804011,12.87008,1716,1110,223,0.2178705182873766
LOC_00005359-mRNA-1,0.10101600000000001,0.482093,72,47,11,0.2095363342757518
LOC_00005330-mRNA-1,0.48955600000000005,2.383938,1786,1154,291,0.20535601177547402
LOC_00005355-mRNA-1,1.8045820000000001,9.257065,156,101,23,0.19494105313077092
LOC_00005308-mRNA-1,2.429564,12.985605,333,218,8,0.18709671209004125
LOC_00005301-mRNA-3,1.21082,6.489541,2472,1577,405,0.18658022192940918
LOC_00005301-mRNA-2,1.211363,6.541028,2571,1637,414,0.18519459020814466
LOC_00005321-mRNA-1,0.806489,4.415179,132,89,4,0.18266280936741183
LOC_00005315-mRNA-1,0.635939,3.52947,1479,960,207,0.18017974370089562
LOC_00005363-mRNA-1,0.327816,2.092087,825,528,112,0.15669329239176
LOC_00005338-mRNA-2,0.572689,3.816847,1869,1209,221,0.15004243030962466
LOC_00005301-mRNA-1,0.627077,4.44125,1728,1112,278,0.1411938080495356
LOC_00005338-mRNA-1,0.576502,4.147274,2214,1437,268,0.1390074540529514
LOC_00005345-mRNA-1,0.25651999999999997,1.956066,75,47,1,0.1311407692787462
LOC_00005349-mRNA-2,0.3619,2.864245,1178,775,199,0.12635092319267383
LOC_00005324-mRNA-1,0.142555,1.178144,615,400,85,0.12099964011190481
