transcript,dxy,n,pos,n0,n4,win,win_dxy,ratio,f0
LOC_00005010-mRNA-1,0.008574954545454545,132,10780202.5,86,16,107,0.013262324072825354,0.6465649985906106,0.8431372549019608
LOC_00005011-mRNA-1,0.06230262857142857,70,10941741.5,44,5,109,0.01368197007136611,4.553629941189296,0.8979591836734694
LOC_00005014-mRNA-1,0.02932591304347826,69,11952307.0,44,6,119,0.013031601679777403,2.250369046269007,0.88
LOC_00005016-mRNA-1,0.01788231914893617,141,12842098.0,88,18,128,0.01444458702667311,1.2379944899715725,0.8301886792452831
LOC_00005018-mRNA-1,0.05524748571428571,105,13923455.0,63,0,139,0.01413745665457868,3.907880113386079,1.0
LOC_00005019-mRNA-1,0.017296918032786886,183,14664069.0,120,26,146,0.014864940287738002,1.1636049454604946,0.821917808219178
LOC_00005020-mRNA-1,0.016451259842519682,127,14973941.0,81,17,149,0.016313744679913644,1.008429405100066,0.826530612244898
LOC_00005022-mRNA-1,0.005763282182438193,1173,17776229.0,765,166,177,0.011593050479870373,0.49713250127266195,0.8216970998925887
LOC_00005023-mRNA-1,0.009326822916666666,96,18259551.5,65,11,182,0.012350446894595161,0.7551810065065984,0.8552631578947368
LOC_00005024-mRNA-1,0.0024365616319444445,2304,19396447.5,1486,292,193,0.00990079320971065,0.2460976186791455,0.8357705286839145
LOC_00005024-mRNA-2,0.002382600592969081,4722,19406635.5,3060,620,194,0.0063201067579302245,0.37698739660995223,0.8315217391304348
LOC_00005024-mRNA-3,0.002353583281605628,4833,19406691.0,3134,634,194,0.0063201067579302245,0.37239612743130374,0.8317409766454352
LOC_00005024-mRNA-4,0.002270722891566265,4731,19415029.0,3068,628,194,0.0063201067579302245,0.35928552768781163,0.8300865800865801
LOC_00005025-mRNA-1,0.0023552629629629627,270,19500077.5,174,29,195,0.00613015959504382,0.38420907750381766,0.8571428571428571
LOC_00005026-mRNA-1,0.002283956083513319,2778,19526843.5,1777,355,195,0.00613015959504382,0.37257693671790815,0.8334896810506567
LOC_00005026-mRNA-2,0.0021648585109669445,3237,19531559.0,2067,421,195,0.00613015959504382,0.3531488010062925,0.8307877813504824
