window_start,window_stop,shared_bp,sum_dxy,n_dxy_sites,n_coin
60000000,60100000,49811,112.64952845166984,4455,216
60100000,60200000,57498,145.99010327241672,4793,297
60200000,60300000,40005,90.17858352665047,3254,368
60300000,60400000,33064,55.09054367703408,2147,249
60400000,60500000,30750,24.386279959478657,1757,150
60500000,60600000,37182,85.03614996695791,3000,71
60600000,60700000,37559,79.29233434482012,3569,110
60700000,60800000,37659,147.07515757448016,4475,221
60800000,60900000,39099,146.98448388643305,4469,279
60900000,61000000,64566,165.47881891466795,7108,256
61000000,61100000,54394,198.76550345920805,6629,386
61100000,61200000,47510,153.68159024287434,6040,428
61200000,61300000,48148,183.68712264274677,6317,481
61300000,61400000,50237,208.77082057354687,6362,324
61400000,61500000,56951,212.10561974224788,6670,562
61500000,61600000,47301,164.24163315604483,4458,523
61600000,61700000,54351,214.6677796954782,6294,496
61700000,61800000,52541,262.31173808670246,7532,629
61800000,61900000,55975,216.83348243445926,7867,542
61900000,62000000,55312,217.815914723044,7377,500
62000000,62100000,55765,274.3569025905995,8205,524
62100000,62200000,51656,205.34452546533703,6890,456
62200000,62300000,53663,328.26667366214406,8798,547
62300000,62400000,52612,256.67876647561934,8044,645
62400000,62500000,54363,279.62430132701957,9490,545
62500000,62600000,53426,313.74631988359215,8321,773
62600000,62700000,49435,247.12345697874935,7493,593
62700000,62800000,58637,288.7064883236453,8977,472
62800000,62900000,49079,257.61195297396534,7906,486
62900000,63000000,48929,328.4096520121484,7861,789
63000000,63100000,49356,298.12485194042256,8289,577
63100000,63200000,60785,401.76880237757905,10407,718
63200000,63300000,50041,282.9412908005379,9482,558
63300000,63400000,62161,427.2715367538867,10950,805
63400000,63500000,58577,336.9129970796921,10412,591
63500000,63600000,56979,331.9212969655946,10955,496
63600000,63700000,57296,374.20937352086185,10885,781
63700000,63800000,55806,291.83867719542286,8422,691
63800000,63900000,57518,359.39405509772405,10405,623
63900000,64000000,52414,316.0932380733648,9167,610
64000000,64100000,54051,330.75236743074856,8402,606
64100000,64200000,52273,283.5136178624198,8085,780
64200000,64300000,49459,283.6126805823351,9022,579
64300000,64400000,51219,246.70382914227594,9025,656
64400000,64500000,48233,251.80432853664024,8797,532
64500000,64600000,49290,235.1721356223461,7933,638
64600000,64700000,43806,252.66436947383045,7156,447
64700000,64800000,42968,284.6116077975421,6573,560
64800000,64900000,41524,319.34387941201567,7234,850
64900000,65000000,44101,331.5656186410197,7421,699
65000000,65100000,55507,363.2829253545078,10134,607
65100000,65200000,44987,239.8227409964693,7545,500
65200000,65300000,49313,239.829584153651,6771,438
65300000,65400000,46465,287.2500371679853,7333,557
65400000,65500000,46835,196.97308266423897,6719,345
65500000,65600000,41474,235.62684513561908,6362,380
65600000,65700000,36952,166.57420757936052,5831,323
65700000,65800000,42346,202.665549999414,7202,231
65800000,65900000,43510,214.34459981550572,6582,300
65900000,66000000,39381,184.61776031837326,5944,331
66000000,66100000,40877,170.47765256222556,5207,236
66100000,66200000,46772,179.03748903887208,5915,247
66200000,66300000,42355,182.72605148856564,5177,343
66300000,66400000,31528,148.5447861672128,3984,198
66400000,66500000,41006,187.97562602854487,5704,181
66500000,66600000,33225,154.1707276189827,4666,308
66600000,66700000,38590,236.81541791829113,6125,342
66700000,66800000,34681,235.8342403513616,5653,364
66800000,66900000,39729,189.826047505936,5957,326
66900000,67000000,35333,220.54687482057489,5394,396
67000000,67100000,29513,117.74821181152583,3961,329
67100000,67200000,34249,141.93518338257854,4506,320
67200000,67300000,39758,218.04204889631,5610,365
67300000,67400000,40871,198.16933805064036,6298,463
67400000,67500000,39680,243.66276623932208,5929,466
67500000,67600000,34962,169.79966087117282,5059,353
67600000,67700000,36223,181.7027114254597,5090,393
67700000,67800000,34531,169.65426292300253,4303,348
67800000,67900000,37040,194.49425590256214,5241,332
67900000,68000000,48666,205.11508924015288,5330,426
68000000,68100000,46649,219.87974596490676,5429,527
68100000,68200000,45003,138.95062409350066,5268,380
68200000,68300000,41296,193.14083458430832,5743,522
68300000,68400000,35304,151.74970665065848,4734,304
68400000,68500000,34537,248.34468368723174,5220,373
68500000,68600000,31652,147.08706974853703,4577,282
68600000,68700000,35135,185.58055188466824,4789,406
68700000,68800000,31936,178.86435703203097,4712,403
68800000,68900000,40836,151.06617823796114,4720,440
68900000,69000000,29577,96.78714745130128,2665,328
69000000,69100000,47332,226.26728194956013,4804,462
69100000,69200000,57029,329.2180602592671,6330,617
69200000,69300000,55220,206.1443454651744,6395,601
69300000,69400000,53953,231.04587879842074,6914,424
69400000,69500000,54135,225.10416801344763,7174,328
69500000,69600000,50014,279.14498853512123,7522,327
69600000,69700000,50005,300.5203094619246,6555,322
69700000,69800000,52392,286.8798344782299,6685,245
69800000,69900000,56079,336.85938181592064,7064,686
69900000,70000000,53750,284.5588726540336,6990,625
70000000,70100000,55600,245.4885070812852,7677,628
70100000,70200000,42750,187.57169492301546,5796,260
70200000,70300000,63999,236.46411351945062,6524,475
70300000,70400000,53271,283.8047382197765,6830,389
